model,backend,precision,batch,graph_opt_level,intra_op_threads,lat_ms_mean,lat_ms_std,p95_ms,qps,power_w,idle_w,j_inf_gross,j_inf_net,edp,static_share_pct
mobilenetv2,ort-cuda,fp32,1,0,0,1.0025,0.0021,1.0383,997.03,100.44,54.98,0.100695,0.045584,0.000100947,54.8
mobilenetv2,ort-cuda,fp32,1,1,0,0.9733,0.0030,1.0244,1026.92,104.33,62.56,0.101541,0.040654,0.000098825,60.0
mobilenetv2,ort-cuda,fp32,1,2,0,0.9906,0.0026,1.0433,1008.96,103.84,62.74,0.102862,0.040712,0.000101895,60.4
mobilenetv2,ort-cuda,fp32,1,99,0,0.9768,0.0025,1.0104,1023.21,103.47,62.10,0.101068,0.040407,0.000098721,60.0
mobilenetv2,ort-cuda,fp32,16,0,0,2.4889,0.0029,2.5422,401.69,270.30,57.69,0.672774,0.529188,0.001674505,21.4
mobilenetv2,ort-cuda,fp32,16,1,0,2.4862,0.0024,2.5457,402.13,271.48,58.29,0.674946,0.530027,0.001678036,21.4
mobilenetv2,ort-cuda,fp32,16,2,0,2.4868,0.0013,2.5490,402.03,271.79,58.25,0.675882,0.531027,0.001680749,21.4
mobilenetv2,ort-cuda,fp32,16,99,0,2.4850,0.0023,2.5454,402.32,269.43,58.12,0.669551,0.525120,0.001663871,21.6
mobilenetv2,torch-compile,fp16,1,,,2.5218,0.0086,2.6982,396.46,70.40,58.07,0.177539,0.031090,0.000447720,82.5
mobilenetv2,torch-compile,fp16,16,,,2.4809,0.0083,2.6526,403.00,106.44,56.80,0.264084,0.123176,0.000655183,53.4
mobilenetv2,torch-compile,fp32,1,,,2.5162,0.0094,2.6876,397.35,69.51,55.81,0.174895,0.034459,0.000440077,80.3
mobilenetv2,torch-compile,fp32,16,,,2.4973,0.0068,2.6561,400.35,178.70,56.90,0.446236,0.304142,0.001114334,31.8
mobilenetv2,torch-eager,fp16,1,,,5.0388,0.0258,5.2960,198.44,70.71,59.60,0.356310,0.056015,0.001795421,84.3
mobilenetv2,torch-eager,fp16,16,,,5.0195,0.0199,5.2963,199.20,101.92,57.24,0.511601,0.224303,0.002567995,56.2
mobilenetv2,torch-eager,fp32,1,,,4.1319,0.0099,4.3590,241.98,69.69,55.78,0.287968,0.057502,0.001189888,80.0
mobilenetv2,torch-eager,fp32,16,,,4.0471,0.0094,4.2664,247.06,173.34,56.96,0.701509,0.470978,0.002839088,32.9
resnet50,ort-cuda,fp32,1,0,0,1.3792,0.0034,1.4476,724.77,166.14,61.70,0.229137,0.144038,0.000316029,37.1
resnet50,ort-cuda,fp32,1,1,0,1.3515,0.0052,1.4295,739.64,168.89,63.78,0.228261,0.142059,0.000308499,37.8
resnet50,ort-cuda,fp32,1,2,0,1.3511,0.0057,1.4057,739.83,168.48,63.04,0.227630,0.142454,0.000307557,37.4
resnet50,ort-cuda,fp32,1,99,0,1.3517,0.0047,1.4110,739.53,168.42,63.43,0.227651,0.141918,0.000307708,37.6
resnet50,ort-cuda,fp32,16,0,0,5.3101,0.0038,5.4386,188.30,314.02,59.23,1.667490,1.352945,0.008854610,18.9
resnet50,ort-cuda,fp32,16,1,0,5.3236,0.0043,5.4546,187.82,315.40,59.32,1.679094,1.363298,0.008938907,18.8
resnet50,ort-cuda,fp32,16,2,0,5.3151,0.0041,5.4381,188.12,314.70,60.01,1.672660,1.353700,0.008890447,19.1
resnet50,ort-cuda,fp32,16,99,0,5.3220,0.0022,5.4489,187.87,311.83,59.51,1.659557,1.342870,0.008832187,19.1
resnet50,torch-compile,fp16,1,,,2.7847,0.0119,2.9630,359.04,78.70,59.39,0.219151,0.053759,0.000610275,75.5
resnet50,torch-compile,fp16,16,,,2.6923,0.0101,2.9006,371.37,213.52,57.06,0.574855,0.421226,0.001547667,26.7
resnet50,torch-compile,fp32,1,,,3.1791,0.0116,3.3942,314.51,93.40,57.41,0.296913,0.114414,0.000943910,61.5
resnet50,torch-compile,fp32,16,,,4.0314,0.0073,4.1410,248.02,289.20,60.05,1.165892,0.923819,0.004700197,20.8
resnet50,torch-eager,fp16,1,,,5.7042,0.0179,5.9989,175.29,77.36,61.52,0.441277,0.090364,0.002517244,79.5
resnet50,torch-eager,fp16,16,,,5.5991,0.0259,5.9014,178.58,179.23,57.77,1.003559,0.680070,0.005619258,32.2
resnet50,torch-eager,fp32,1,,,4.8185,0.0180,5.0670,207.51,86.37,58.65,0.416181,0.133591,0.002005392,67.9
resnet50,torch-eager,fp32,16,,,5.0495,0.0118,5.1470,198.01,300.48,57.88,1.517310,1.225059,0.007661764,19.2
vit_b_16,ort-cuda,fp32,1,0,0,4.3229,0.0083,4.5457,231.29,165.76,62.15,0.716581,0.447927,0.003097713,37.5
vit_b_16,ort-cuda,fp32,1,1,0,2.9425,0.0086,3.0933,339.77,210.42,64.16,0.619166,0.430373,0.001821916,30.5
vit_b_16,ort-cuda,fp32,1,2,0,2.6843,0.0028,2.8232,372.45,214.39,65.30,0.575484,0.400188,0.001544763,30.5
vit_b_16,ort-cuda,fp32,1,99,0,2.6875,0.0079,2.8410,372.00,213.52,63.14,0.573841,0.404160,0.001542222,29.6
vit_b_16,ort-cuda,fp32,16,0,0,19.0832,0.0191,19.3818,52.40,350.26,59.55,6.684114,5.547709,0.127554484,17.0
vit_b_16,ort-cuda,fp32,16,1,0,18.2390,0.0160,18.4508,54.83,362.78,60.19,6.616812,5.518977,0.120684267,16.6
vit_b_16,ort-cuda,fp32,16,2,0,14.7867,0.0128,14.9818,67.62,387.46,60.37,5.729295,4.836575,0.084717527,15.6
vit_b_16,ort-cuda,fp32,16,99,0,14.7860,0.0219,14.9855,67.63,388.01,61.01,5.737090,4.834996,0.084829205,15.7
vit_b_16,torch-compile,fp16,1,,,3.8114,0.0106,4.0393,262.34,112.71,59.05,0.429571,0.204524,0.001637251,52.4
vit_b_16,torch-compile,fp16,16,,,6.7233,0.0693,6.8880,148.74,416.69,64.34,2.801055,2.368455,0.018831021,15.4
vit_b_16,torch-compile,fp32,1,,,3.7035,0.0130,3.9184,269.98,286.02,58.91,1.059262,0.841112,0.003923022,20.6
vit_b_16,torch-compile,fp32,16,,,20.7547,0.2082,21.2254,48.18,402.67,60.77,8.356529,7.095263,0.173436822,15.1
vit_b_16,torch-eager,fp16,1,,,4.3218,0.0214,4.5756,231.36,110.50,60.47,0.477550,0.216199,0.002063902,54.7
vit_b_16,torch-eager,fp16,16,,,5.7014,0.0607,5.7997,175.39,411.91,58.27,2.347926,2.015706,0.013384880,14.2
vit_b_16,torch-eager,fp32,1,,,4.1758,0.0103,4.4085,239.45,254.66,59.27,1.063373,0.815875,0.004440305,23.3
vit_b_16,torch-eager,fp32,16,,,19.1359,0.1357,19.3798,52.26,394.90,60.62,7.555846,6.395826,0.144577475,15.4
