model,backend,precision,tag,batch,graph_opt_level,intra_op_threads,rep,flops_approx_g,mean_lat_ms,p95_lat_ms,throughput_qps,mean_power_w,idle_power_w,energy_j_per_inf,energy_net_j_per_inf,edp,static_share_pct,samples,run_wall_s,gpu_index,gpu_name,driver_version,sm_clock_mhz,max_sm_clock_mhz,power_limit_w,temp_gpu_c,util_gpu_pct
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt0-b1,1,0,0,1,1.8,0.65,0.676,1537.19,146.2436,57.07,0.095064,0.057966,6.1795e-05,39.0,76,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2730,3105,450.00,39,68
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt0-b1,1,0,0,2,1.8,0.6476,0.6725,1542.92,150.5582,57.07,0.097499,0.060541,6.3138e-05,37.9,78,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,37,68
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt0-b1,1,0,0,3,1.8,0.6516,0.6789,1533.55,150.3375,57.07,0.097954,0.06077,6.3824e-05,38.0,79,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,42,68
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt0-b1,1,0,0,4,1.8,0.6505,0.6699,1536.02,150.0147,57.07,0.097587,0.060462,6.3482e-05,38.0,75,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,40,61
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt0-b1,1,0,0,5,1.8,0.6512,0.6732,1534.37,150.6142,57.07,0.098083,0.060918,6.3874e-05,37.9,76,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,44,68
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt0-b1,1,0,0,6,1.8,0.6564,0.6906,1522.26,148.6332,57.07,0.097562,0.060101,6.4039e-05,38.4,76,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,44,68
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt0-b1,1,0,0,7,1.8,0.6521,0.6789,1532.3,150.1915,57.07,0.097941,0.060725,6.3868e-05,38.0,75,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,44,68
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt0-b1,1,0,0,8,1.8,0.6528,0.6785,1530.54,150.7682,57.07,0.098429,0.061171,6.4259e-05,37.9,76,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,41,37
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt0-b16,16,0,0,1,1.8,2.3209,2.4365,430.77,218.5669,57.12,0.507269,0.3747,0.001177313,26.1,72,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2700,3105,450.00,45,95
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt0-b16,16,0,0,2,1.8,2.321,2.4379,430.74,222.8704,57.12,0.517276,0.384702,0.001200583,25.6,75,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,44,0
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt0-b16,16,0,0,3,1.8,2.3204,2.4337,430.85,220.4339,57.12,0.511496,0.378955,0.00118688,25.9,74,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,53,95
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt0-b16,16,0,0,4,1.8,2.3252,2.4438,429.97,220.6126,57.12,0.512969,0.380154,0.001192757,25.9,73,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2700,3105,450.00,47,95
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt0-b16,16,0,0,5,1.8,2.3248,2.4368,430.03,224.1691,57.12,0.521156,0.388361,0.001211599,25.5,74,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2700,3105,450.00,53,95
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt0-b16,16,0,0,6,1.8,2.3246,2.4407,430.07,220.948,57.12,0.513624,0.38084,0.001193988,25.9,74,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2700,3105,450.00,49,95
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt0-b16,16,0,0,7,1.8,2.3239,2.4387,430.21,224.3704,57.12,0.521415,0.388674,0.001211718,25.5,76,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2700,3105,450.00,53,95
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt0-b16,16,0,0,8,1.8,2.3243,2.4428,430.13,221.4082,57.12,0.514626,0.38186,0.001196162,25.8,76,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2700,3105,450.00,53,95
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt1-b1,1,1,0,1,1.8,0.6347,0.6608,1574.26,152.0019,57.8,0.096475,0.059789,6.1232e-05,38.0,75,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,45,69
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt1-b1,1,1,0,2,1.8,0.6394,0.6738,1562.61,153.0272,57.8,0.097846,0.060889,6.2563e-05,37.8,75,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,44,69
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt1-b1,1,1,0,3,1.8,0.6349,0.6611,1573.62,154.1849,57.8,0.097898,0.061199,6.2159e-05,37.5,78,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,41,0
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt1-b1,1,1,0,4,1.8,0.6352,0.6651,1572.92,153.4189,57.8,0.097456,0.06074,6.1907e-05,37.7,76,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,44,67
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt1-b1,1,1,0,5,1.8,0.641,0.6772,1558.76,152.7051,57.8,0.097885,0.060835,6.2745e-05,37.9,76,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,44,68
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt1-b1,1,1,0,6,1.8,0.6789,0.7073,1471.77,146.941,57.8,0.099758,0.060518,6.7726e-05,39.3,77,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,44,66
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt1-b1,1,1,0,7,1.8,0.6672,0.7146,1497.48,148.6289,57.8,0.099172,0.060605,6.6172e-05,38.9,74,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,44,65
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt1-b1,1,1,0,8,1.8,0.6835,0.7161,1461.88,147.4312,57.8,0.10077,0.061264,6.8877e-05,39.2,75,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,44,63
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt1-b16,16,1,0,1,1.8,2.3212,2.4367,430.71,217.1679,56.82,0.504085,0.372195,0.001170068,26.2,75,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,43,0
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt1-b16,16,1,0,2,1.8,2.3207,2.4343,430.8,219.9301,56.82,0.510391,0.378529,0.001184463,25.8,77,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,52,95
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt1-b16,16,1,0,3,1.8,2.3218,2.4396,430.6,220.943,56.82,0.512982,0.381058,0.001191034,25.7,77,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,47,95
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt1-b16,16,1,0,4,1.8,2.3215,2.4345,430.66,224.939,56.82,0.522193,0.390286,0.001212265,25.3,78,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,54,95
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt1-b16,16,1,0,5,1.8,2.3263,2.4458,429.76,224.7764,56.82,0.522906,0.390723,0.001216454,25.3,78,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2700,3105,450.00,54,44
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt1-b16,16,1,0,6,1.8,2.3285,2.4473,429.36,224.4099,56.82,0.522539,0.390233,0.001216733,25.3,77,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2700,3105,450.00,54,95
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt1-b16,16,1,0,7,1.8,2.3339,2.4589,428.36,224.3721,56.82,0.523663,0.391051,0.001222182,25.3,78,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2700,3105,450.00,54,95
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt1-b16,16,1,0,8,1.8,2.327,2.4396,429.63,223.7777,56.82,0.520739,0.388517,0.001211777,25.4,74,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2700,3105,450.00,54,95
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt2-b1,1,2,0,1,1.8,0.6368,0.6721,1569.21,154.1562,58.5667,0.098167,0.060872,6.2513e-05,38.0,76,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,47,70
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt2-b1,1,2,0,2,1.8,0.6663,0.7003,1499.71,152.7999,58.5667,0.10181,0.062787,6.7835e-05,38.3,74,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,46,66
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt2-b1,1,2,0,3,1.8,0.6454,0.6906,1548.33,154.8457,58.5667,0.099932,0.062135,6.4493e-05,37.8,76,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,43,70
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt2-b1,1,2,0,4,1.8,0.6375,0.6655,1567.45,153.827,58.5667,0.098065,0.060729,6.2517e-05,38.1,74,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,45,70
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt2-b1,1,2,0,5,1.8,0.6381,0.6666,1566.0,154.7532,58.5667,0.098747,0.061376,6.301e-05,37.8,74,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,45,70
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt2-b1,1,2,0,6,1.8,0.6352,0.6615,1573.23,154.9662,58.5667,0.098428,0.061229,6.2517e-05,37.8,76,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,41,0
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt2-b1,1,2,0,7,1.8,0.6578,0.6964,1519.21,150.4993,58.5667,0.098992,0.060469,6.5113e-05,38.9,74,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,45,70
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt2-b1,1,2,0,8,1.8,0.6391,0.668,1563.5,154.9232,58.5667,0.099013,0.061583,6.3281e-05,37.8,76,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,46,69
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt2-b16,16,2,0,1,1.8,2.3239,2.4293,430.2,219.2818,56.405,0.509598,0.378516,0.001184274,25.7,76,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,46,44
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt2-b16,16,2,0,2,1.8,2.3245,2.4356,430.1,220.7513,56.405,0.513132,0.38202,0.001192767,25.6,75,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,53,95
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt2-b16,16,2,0,3,1.8,2.3231,2.4318,430.36,224.0023,56.405,0.520377,0.389343,0.00120888,25.2,74,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,48,0
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt2-b16,16,2,0,4,1.8,2.3275,2.4413,429.53,222.8545,56.405,0.518701,0.387417,0.001207293,25.3,75,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2700,3105,450.00,54,95
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt2-b16,16,2,0,5,1.8,2.3295,2.4466,429.17,224.3196,56.405,0.522554,0.391158,0.001217292,25.1,74,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2700,3105,450.00,54,95
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt2-b16,16,2,0,6,1.8,2.3277,2.439,429.51,225.3147,56.405,0.524457,0.393165,0.001220758,25.0,74,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2700,3105,450.00,54,95
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt2-b16,16,2,0,7,1.8,2.3265,2.4303,429.72,224.9069,56.405,0.523244,0.392019,0.001217325,25.1,75,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2700,3105,450.00,55,95
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt2-b16,16,2,0,8,1.8,2.3291,2.4366,429.24,220.7845,56.405,0.514234,0.38286,0.001197712,25.5,74,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2700,3105,450.00,49,59
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt99-b1,1,99,0,1,1.8,0.6287,0.6552,1589.08,152.6416,58.42,0.095972,0.059241,6.0342e-05,38.3,77,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,47,70
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt99-b1,1,99,0,2,1.8,0.6296,0.6615,1586.76,154.5101,58.42,0.097287,0.060503,6.1257e-05,37.8,76,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,46,70
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt99-b1,1,99,0,3,1.8,0.6307,0.6615,1584.2,154.8312,58.42,0.097649,0.060805,6.1585e-05,37.7,74,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,46,70
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt99-b1,1,99,0,4,1.8,0.6272,0.6495,1592.9,154.3775,58.42,0.09683,0.060187,6.0735e-05,37.8,76,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,44,67
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt99-b1,1,99,0,5,1.8,0.6262,0.6488,1595.48,154.2736,58.42,0.096609,0.060025,6.0498e-05,37.9,76,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,43,71
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt99-b1,1,99,0,6,1.8,0.6282,0.6568,1590.35,153.5147,58.42,0.096444,0.059742,6.059e-05,38.1,75,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,46,70
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt99-b1,1,99,0,7,1.8,0.6328,0.6685,1579.01,153.9263,58.42,0.097397,0.060432,6.1628e-05,38.0,70,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,45,69
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt99-b1,1,99,0,8,1.8,0.6289,0.6523,1588.71,154.2831,58.42,0.097027,0.060287,6.1019e-05,37.9,75,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,46,70
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt99-b16,16,99,0,1,1.8,2.3427,2.4562,426.75,217.6084,56.6567,0.509798,0.377067,0.00119432,26.0,74,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2700,3105,450.00,51,95
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt99-b16,16,99,0,2,1.8,2.3442,2.4601,426.47,221.7304,56.6567,0.519791,0.386974,0.001218518,25.6,74,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2700,3105,450.00,53,95
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt99-b16,16,99,0,3,1.8,2.3438,2.459,426.56,224.1761,56.6567,0.525419,0.392629,0.001231467,25.3,76,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2700,3105,450.00,54,39
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt99-b16,16,99,0,4,1.8,2.3445,2.4628,426.43,222.0997,56.6567,0.520712,0.387881,0.001220808,25.5,74,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2700,3105,450.00,55,95
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt99-b16,16,99,0,5,1.8,2.3438,2.4613,426.55,224.3865,56.6567,0.525913,0.393122,0.001232624,25.2,74,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2700,3105,450.00,49,30
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt99-b16,16,99,0,6,1.8,2.344,2.4594,426.52,225.1714,56.6567,0.527799,0.394997,0.001237154,25.2,76,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2700,3105,450.00,48,95
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt99-b16,16,99,0,7,1.8,2.3426,2.4532,426.78,224.0423,56.6567,0.524834,0.392112,0.001229457,25.3,74,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2700,3105,450.00,48,0
resnet18,ort-cuda,fp32,resnet18-ort-fp32-opt99-b16,16,99,0,8,1.8,2.3438,2.454,426.56,224.6603,56.6567,0.526548,0.393759,0.001234097,25.2,74,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2700,3105,450.00,55,95
mobilenetv3_large,ort-cuda,fp32,mobilenetv3_large-ort-fp32-opt0-b1,1,0,0,1,0.44,1.405,1.5335,711.46,94.8066,59.3167,0.133205,0.049864,0.000187156,62.6,74,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,39,43
mobilenetv3_large,ort-cuda,fp32,mobilenetv3_large-ort-fp32-opt0-b1,1,0,0,2,0.44,1.4028,1.535,712.56,94.8432,59.3167,0.133047,0.049837,0.000186638,62.5,76,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2715,3105,450.00,37,0
