model,backend,precision,tag,batch,graph_opt_level,intra_op_threads,rep,flops_approx_g,mean_lat_ms,p95_lat_ms,throughput_qps,mean_power_w,idle_power_w,energy_j_per_inf,energy_net_j_per_inf,edp,static_share_pct,samples,run_wall_s,gpu_index,gpu_name,driver_version,sm_clock_mhz,max_sm_clock_mhz,power_limit_w,temp_gpu_c,util_gpu_pct
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt0-b1,1,0,0,1,0.31,636.3033,826.4852,1.57,20.1335,20.205,12.81102,-0.045487,8.151694155,100.4,37,20.4,0,NVIDIA GeForce RTX 4090,580.105.08,210,3105,450.00,25,0
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt0-b1,1,0,0,2,0.31,561.6691,871.9357,1.78,20.15,20.205,11.317633,-0.030892,6.356764991,100.3,33,20.2,0,NVIDIA GeForce RTX 4090,580.105.08,210,3105,450.00,25,0
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt0-b1,1,0,0,3,0.31,720.688,894.4197,1.39,20.0424,20.205,14.444334,-0.117166,10.409857301,100.8,33,20.2,0,NVIDIA GeForce RTX 4090,580.105.08,210,3105,450.00,25,0
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt0-b1,1,0,0,4,0.31,638.1984,838.5434,1.57,19.9971,20.205,12.762115,-0.132684,8.144761385,101.0,31,20.4,0,NVIDIA GeForce RTX 4090,580.105.08,210,3105,450.00,25,0
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt0-b1,1,0,0,5,0.31,538.8947,809.4286,1.86,20.2697,20.205,10.923223,0.034854,5.886467161,99.7,31,20.5,0,NVIDIA GeForce RTX 4090,580.105.08,210,3105,450.00,25,0
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt0-b1,1,0,0,6,0.31,726.5246,1044.0706,1.38,20.2943,20.205,14.744332,0.064903,10.712119158,99.6,30,20.3,0,NVIDIA GeForce RTX 4090,580.105.08,210,3105,450.00,25,0
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt0-b1,1,0,0,7,0.31,565.5682,823.1924,1.77,20.1723,20.205,11.408816,-0.01849,6.452463458,100.2,26,20.4,0,NVIDIA GeForce RTX 4090,580.105.08,210,3105,450.00,25,0
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt0-b1,1,0,0,8,0.31,592.8135,840.0461,1.69,20.2497,20.205,12.004269,0.026472,7.11629245,99.8,29,20.2,0,NVIDIA GeForce RTX 4090,580.105.08,210,3105,450.00,25,0
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt0-b16,16,0,0,1,0.31,4669.7044,5187.8375,0.21,20.0967,19.914,93.845493,0.852999,438.230713043,99.1,39,23.3,0,NVIDIA GeForce RTX 4090,580.105.08,210,3105,450.00,25,0
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt0-b16,16,0,0,2,0.31,5758.8891,5833.2866,0.17,20.203,19.914,116.346713,1.664196,670.027813525,98.6,47,23.0,0,NVIDIA GeForce RTX 4090,580.105.08,210,3105,450.00,25,0
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt0-b16,16,0,0,3,0.31,4949.7567,5430.7026,0.2,20.2819,19.914,100.390493,1.821039,496.908511722,98.2,42,24.7,0,NVIDIA GeForce RTX 4090,580.105.08,210,3105,450.00,25,0
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt0-b16,16,0,0,4,0.31,5333.9641,5719.3481,0.19,20.1786,19.914,107.631988,1.411426,574.105162967,98.7,36,21.3,0,NVIDIA GeForce RTX 4090,580.105.08,210,3105,450.00,25,0
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt0-b16,16,0,0,5,0.31,5384.3173,5797.313,0.19,20.0997,19.914,108.223282,0.999987,582.708487138,99.1,36,21.5,0,NVIDIA GeForce RTX 4090,580.105.08,210,3105,450.00,25,0
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt0-b16,16,0,0,6,0.31,5809.8363,6263.4739,0.17,19.888,19.914,115.546277,-0.150803,671.304953232,100.1,46,23.2,0,NVIDIA GeForce RTX 4090,580.105.08,210,3105,450.00,25,0
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt0-b16,16,0,0,7,0.31,5589.9689,5848.7285,0.18,20.0773,19.914,112.231669,0.913028,627.371544279,99.2,45,22.4,0,NVIDIA GeForce RTX 4090,580.105.08,210,3105,450.00,25,0
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt0-b16,16,0,0,8,0.31,5087.2892,5265.4925,0.2,20.027,19.914,101.882987,0.57471,518.308223555,99.4,33,20.3,0,NVIDIA GeForce RTX 4090,580.105.08,210,3105,450.00,25,0
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt1-b1,1,1,0,1,0.31,1022.2071,1254.7636,0.98,19.7882,19.8143,20.227689,-0.026614,20.67688605,100.1,40,20.4,0,NVIDIA GeForce RTX 4090,580.105.08,210,3105,450.00,26,0
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt1-b1,1,1,0,2,0.31,982.7098,1175.657,1.02,19.9308,19.8143,19.586161,0.114469,19.24751186,99.4,26,20.6,0,NVIDIA GeForce RTX 4090,580.105.08,210,3105,450.00,26,0
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt1-b1,1,1,0,3,0.31,878.3208,1154.3725,1.14,19.71,19.8143,17.311703,-0.091596,15.205229161,100.5,35,20.2,0,NVIDIA GeForce RTX 4090,580.105.08,210,3105,450.00,26,0
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt1-b1,1,1,0,4,0.31,914.7933,1039.8915,1.09,20.1092,19.8143,18.395732,0.269755,16.828293156,98.5,24,20.1,0,NVIDIA GeForce RTX 4090,580.105.08,210,3105,450.00,26,0
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt1-b1,1,1,0,5,0.31,829.1326,1086.7043,1.21,19.891,19.8143,16.492277,0.063606,13.67428484,99.6,30,20.7,0,NVIDIA GeForce RTX 4090,580.105.08,210,3105,450.00,26,0
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt1-b1,1,1,0,6,0.31,916.9132,1065.0038,1.09,19.8906,19.8143,18.237977,0.069997,16.72264306,99.6,32,20.2,0,NVIDIA GeForce RTX 4090,580.105.08,210,3105,450.00,26,0
